",",restaurant,city,street,lat,long
0,McDonalds,Bari,"Viale Europa, 3/C",41.1248164135459,16.8226841466712
1,McDonalds,Bari,Viale Enzo Ferrari,41.1365238498231,16.7646981514289
2,McDonalds,Bari,"Via Noicattaro, 2",40.965866183302,16.9262396331775
3,McDonalds,Bari,Corso Vittorio Emanuele,41.1261139939979,16.8724614522156
4,McDonalds,Bari,Via Caduti del Lavoro,41.0891344637272,16.8962158718103
5,McDonalds,Bari,"Via Sparano da Bari, 155/157/159",41.1193713259199,16.8698608797595
6,McDonalds,Bari,Uscita 11 Tangenziale,41.0906989110718,16.8634865021405
7,McDonalds,Bari,"Via Caterina, 17",41.1001144887022,16.8319355131939
8,McDonalds,Bari,Centro commerciale BariBlu,41.0831742170073,16.9461335472278
9,McDonalds,Molfetta,Via Adriano Olivetti,41.2054978732961,16.5563497779114
10,McDonalds,Monopoli,Via Aldo Moro,40.9593509942198,17.2820439411267
11,McDonalds,Lecce,Via Benzi,40.3756886414264,18.1472054895569
12,McDonalds,Lecce,Via Salvatore Trinchese,40.3538977324214,18.1769214392786
13,McDonalds,Barletta,"Via Foggia, 42",41.3204304208792,16.2571888374304
14,McDonalds,Bisceglie,Via Bovio 312,41.2446797060104,16.490371468114
15,McDonalds,Brindisi,Viale Caduti di via Fani,40.6232736803286,17.9159011202405
16,McDonalds,Fasano,"Via Roma, 327",40.8430976356785,17.3584857644177
17,McDonalds,Mesagne,Centro Commerciale Appia Antica,40.5801894505641,17.8389037043421
18,McDonalds,Cerignola,Via Nizza,41.2666847611773,15.9067909374304
19,McDonalds,Foggia,Centro Commerciale GrandaPulia,41.4180462208136,15.6553425704933
20,McDonalds,Foggia,Corso del Mezzogiorno,41.4512111883074,15.5695174673273
21,McDonalds,Foggia,Viale Degli Aviatori,41.447584056975,15.5436746059601
22,McDonalds,Taranto,Via Consiglio 115,40.4613385521374,17.299921344823
